Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for Scotland
Areal series, starting in 1910
Last updated 01-Nov-2024 10:45
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1952   43.2   61.9   97.6  152.5  161.4  135.1  160.9  108.9   95.8   84.6   55.7   29.5   138.0   411.5   404.9   236.0  1187.0
1953   33.9   61.5  127.9  147.6  166.9  148.9  100.4  128.3   92.4   69.1   37.3   35.1   124.9   442.3   377.5   198.8  1149.1
1954   33.9   52.8  104.7  175.0  148.7  135.3  106.6   97.9  107.3   66.2   41.5   21.8   121.9   428.4   339.7   214.9  1091.5
1955   37.3   78.3  112.3  165.5  206.2  172.6  240.9  160.4  117.9   72.4   48.0   32.6   137.4   484.1   573.8   238.3  1444.4
1956   38.2   53.9  119.9  166.2  167.9  171.6  148.1  114.6   82.2   81.6   38.3   17.2   124.7   454.0   434.3   202.2  1199.8
1957   37.3   72.2   60.6  161.2  179.4  227.2   98.5  111.5  101.6   56.7   34.1   37.4   126.6   401.2   437.1   192.4  1177.7
1958   36.1   45.7   98.8  128.3  178.6  121.5  152.4  107.2  114.8   75.6   43.6   28.6   119.2   405.7   381.0   234.0  1131.2
1959   55.6   65.1   91.9  118.1  197.2  174.6  128.1  128.6  139.1   96.1   43.0   19.9   149.3   407.2   431.4   278.2  1257.4
1960   37.7   87.6   82.3  122.8  180.7  199.8  127.6  128.0  124.6   49.9   51.4   37.4   145.2   385.9   455.4   225.8  1229.9
1961   39.1   62.1   85.8  110.0  178.4  138.8   96.4  124.3  100.5   76.7   54.5   37.1   138.7   374.3   359.5   231.7  1103.8
1962   40.5   65.8  100.2  188.5  155.7  160.2  137.1  130.9   69.2   67.9   34.5   31.8   143.4   444.4   428.3   171.6  1182.4
1963   50.8   90.2   98.7  130.3  177.1  158.4  155.2   86.9  113.1   68.9   39.5   31.8   172.8   406.2   400.5   221.5  1201.0
